#CUE_COLUMN	FRAGMENT_COLUMN	INSTANCE_COLUMN	EXTREME_COLUMN	LEXICALIZATION_COLUMN	OPPOSING_SENTIMENT_COLUMN	TABOO_COLUMN	ANTONYM_COLUMN	UNUSUAL_COLUMN	LABEL_COLUMN
I hate you.	I ... you greatly.	I don't admire you greatly.	_	_	_	_	_	_	ABUSE
I hate you.	I ... you.	I struggle to respect you.	_	_	_	_	_	UNUSUAL	ABUSE
I hate you.	I always need ... with you.	I always need a drink before dealing with you.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
I hate you.	I am not ... you.	I am not fond of you.	_	_	_	_	_	_	ABUSE
I hate you.	I can think of better ... than ... in your ...	I can think of better things to do than be in your presence.	_	_	_	_	_	_	ABUSE
I hate you.	I have dreamed of you being	I have dreamed of you being sacked.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
I hate you.	I have no ... for you.	I have no love for you.	_	_	_	_	_	_	ABUSE
I hate you.	I would prefer if we	I would prefer if we didn't share the same planet earth.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
I hate you.	I would rather ... than have you ...	I would rather be missing than have you looking at me.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
I hate you.	I wouldn't	I wouldn't want to meet you in person.	_	_	_	_	_	_	ABUSE
I hate you.	I'd prefer you were in	I'd prefer you were in someone else's team.	_	_	_	_	_	_	ABUSE
I hate you.	I'd rather stick my head in a blender than	I'd rather stick my head in a blender than be in the designated seat next to you.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
I hate you.	I'd rather stick my head in a blender than	I'd rather stick my head in a blender than shop with you.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
I hate you.	I'm not ... of you.	I'm not a big fan of you.	EXTREME	_	_	_	_	_	ABUSE
I hate you.	Next time I see you, remind me	Next time I see you, remind me to walk away.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
I hate you.	Sometimes I wish you were not	Sometimes I wish you were not born.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
I hate you.	Sometimes I wish you were not	Sometimes I wish you were not my colleague.	EXTREME	_	_	_	_	_	ABUSE
I hate you.	You are at the bottom of	You are at the bottom of my care list.	EXTREME	_	_	_	_	_	ABUSE
I hate you.	You are not	You are not worth the time nor effort.	_	_	_	_	ANTONYM	UNUSUAL	ABUSE
I hate you.	You inspire me to	You inspire me to live far, far away from you.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
I hate you.	You make me want	You make me want to punch a wall.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
I hate you.	You should	You should never come to my party.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a coward.	I bet a big ... could ...	I bet a big spider could scare you.	_	_	_	_	_	UNUSUAL	ABUSE
You are a coward.	No one would describe you as a	No one would describe you as a hero.	EXTREME	_	_	_	ANTONYM	_	ABUSE
You are a coward.	You are	You are shy natured.	_	_	_	_	_	_	OTHER
You are a coward.	You are not	You are not brave.	_	_	_	_	ANTONYM	_	ABUSE
You are a coward.	You are not	You are not the bravest person.	_	_	_	_	ANTONYM	_	OTHER
You are a coward.	You could	You could be much braver.	_	_	_	_	ANTONYM	_	OTHER
You are a coward.	You will never be a	You will never be a chivalrous knight.	EXTREME	_	_	_	ANTONYM	_	ABUSE
You are a dwarf.	I think you might be challenged	I think you might be challenged vertically.	_	LEXICALIZATION	_	TABOO	_	UNUSUAL	ABUSE
You are a dwarf.	You are the perfect ... for me to ...	You are the perfect height for me to rest my drink on your head.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
You are a dwarf.	You have definitely not been	You have definitely not been blessed with height.	_	_	_	TABOO	_	_	ABUSE
You stink.	... does not sit well with you.	I see that good hygiene does not sit well with you.	_	_	_	TABOO	ANTONYM	UNUSUAL	ABUSE
You stink.	... just isn't working for you.	Natural musk just isn't working for you.	_	_	_	TABOO	_	_	ABUSE
You stink.	You certainly mask the	You certainly mask the smell of the compost bin.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
You stink.	You could	You could change your body odour.	EXTREME	_	_	TABOO	_	_	ABUSE
You stink.	You could	You could use a shower.	_	_	_	TABOO	_	_	ABUSE
You stink.	You have a lot of	You have a lot of confidence not to shower or use deodorant.	_	_	OPPOSING_SENTIMENT	TABOO	_	UNUSUAL	ABUSE
You stink.	You really do not	You really do not smell fresh.	EXTREME	_	_	TABOO	ANTONYM	_	ABUSE
You stink.	You'd make ...	You'd make a good bin man.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
You stink.	Your ... five minutes before you arrived.	Your smell greeted me five minutes before you arrived.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
You are a hobo.	It would be nice if you	It would be nice if you wore clean clothes for once.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
You are a hobo.	You do not	You do not have a fixed abode.	_	_	_	_	_	UNUSUAL	OTHER
You are a hobo.	You don't	You don't feel the need to live a settled life.	_	_	_	_	_	UNUSUAL	OTHER
You are a hobo.	You have always given me ... vibes.	You have always given me homeless person vibes.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a hobo.	You must live in ... made of ...	You must live in a shelter made of cardboard boxes.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a hobo.	You reside with	You reside with the rats.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a hobo.	You seem to	You seem to like the gypsy lifestyle.	EXTREME	_	_	_	_	UNUSUAL	OTHER
You are a hobo.	You would be perfectly at home	You would be perfectly at home in a shed.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
